iteration,episode_reward,episode_length
0,-2460.0,99
1,-755.0,99
2,-1755.0,99
3,-3010.0,99
4,-2340.0,99
5,-1345.0,99
6,-2425.0,99
7,-2090.0,99
8,-2850.0,99
9,-1285.0,99
10,-1125.0,99
11,-1935.0,99
12,-2475.0,99
13,-2335.0,99
14,-2335.0,99
15,-2120.0,99
16,-2740.0,99
17,-1020.0,99
18,-1015.0,99
19,-905.0,99
20,-2140.0,99
21,-2230.0,99
22,-2445.0,99
23,-1950.0,99
24,-2230.0,99
25,-790.0,99
26,-1415.0,99
27,-1275.0,99
28,-1170.0,99
29,-1210.0,99
30,-2685.0,99
31,-2495.0,99
32,-850.0,99
33,-1920.0,99
34,-1440.0,99
35,-1335.0,99
36,-1870.0,99
37,-2890.0,99
38,-2345.0,99
39,-1120.0,99
40,-1540.0,99
41,-1600.0,99
42,-1840.0,99
43,-3015.0,99
44,-2510.0,99
45,-1125.0,99
46,-970.0,99
47,-645.0,99
48,-1600.0,99
49,-1775.0,99
50,-2345.0,99
51,-2070.0,99
52,-1195.0,99
53,-2150.0,99
54,-1800.0,99
55,-1445.0,99
56,-1015.0,99
57,-2170.0,99
58,-1920.0,99
59,-2720.0,99
60,-1210.0,99
61,-1545.0,99
62,-3145.0,99
63,-625.0,99
64,-1225.0,99
65,-1495.0,99
66,-435.0,99
67,-720.0,99
68,-990.0,99
69,-1515.0,99
70,-955.0,99
71,-1530.0,99
72,-2610.0,99
73,-830.0,99
74,-315.0,99
75,-1140.0,99
76,-1855.0,99
77,-760.0,99
78,-775.0,99
79,-1410.0,99
80,-2690.0,99
81,-475.0,99
82,-950.0,99
83,-1290.0,99
84,-845.0,99
85,-1440.0,99
86,-2565.0,99
87,-1525.0,99
88,-1395.0,99
89,-2305.0,99
90,-1130.0,99
91,-1925.0,99
92,-1995.0,99
93,-3320.0,99
94,-3115.0,99
95,-2980.0,99
96,-2305.0,99
97,-2100.0,99
98,-1550.0,99
99,-2195.0,99
