iteration,episode_reward,episode_length
0,-415.0,99
1,-400.0,99
2,-1140.0,99
3,-285.0,99
4,-390.0,99
5,-860.0,99
6,-225.0,99
7,-285.0,99
8,-1350.0,99
9,-1250.0,99
10,-530.0,99
11,-360.0,99
12,-915.0,99
13,-1130.0,99
14,-185.0,99
15,-245.0,99
16,-465.0,99
17,-160.0,99
18,-800.0,99
19,-890.0,99
20,-910.0,99
21,-100.0,99
22,-985.0,99
23,-225.0,99
24,-120.0,99
25,-360.0,99
26,-30.0,99
27,-335.0,99
28,-555.0,99
29,-280.0,99
30,-790.0,99
31,-400.0,99
32,-730.0,99
33,-1400.0,99
34,-700.0,99
35,-100.0,99
36,-660.0,99
37,-270.0,99
38,-265.0,99
39,-280.0,99
40,-395.0,99
41,-930.0,99
42,-405.0,99
43,-165.0,99
44,-250.0,99
45,-440.0,99
46,-540.0,99
47,-290.0,99
48,-210.0,99
49,-1250.0,99
50,-470.0,99
51,-455.0,99
52,-1400.0,99
53,-325.0,99
54,-500.0,99
55,-480.0,99
56,-185.0,99
57,-610.0,99
58,-725.0,99
59,-705.0,99
60,-820.0,99
61,-455.0,99
62,-285.0,99
63,-175.0,99
64,-370.0,99
65,-210.0,99
66,-825.0,99
67,-270.0,99
68,-500.0,99
69,-510.0,99
70,-1465.0,99
71,-265.0,99
72,-375.0,99
73,-400.0,99
74,-905.0,99
75,-280.0,99
76,-880.0,99
77,-875.0,99
78,-165.0,99
79,-485.0,99
80,-580.0,99
81,-470.0,99
82,-325.0,99
83,-580.0,99
84,-465.0,99
85,0.0,99
86,-360.0,99
87,-290.0,99
88,-260.0,99
89,-130.0,99
90,-630.0,99
91,-560.0,99
92,-340.0,99
93,-510.0,99
94,-550.0,99
95,-1265.0,99
96,-250.0,99
97,-820.0,99
98,-355.0,99
99,-445.0,99
100,-870.0,99
101,-210.0,99
102,-190.0,99
103,-325.0,99
104,-780.0,99
105,-625.0,99
106,-295.0,99
107,-470.0,99
108,-260.0,99
109,-810.0,99
110,-560.0,99
111,-180.0,99
112,-460.0,99
113,-755.0,99
114,-450.0,99
115,-755.0,99
116,-670.0,99
117,-485.0,99
118,-880.0,99
119,-335.0,99
120,-555.0,99
121,-495.0,99
122,-330.0,99
123,-1085.0,99
124,-420.0,99
125,-580.0,99
126,-410.0,99
127,-345.0,99
128,-420.0,99
129,-530.0,99
130,-485.0,99
131,-530.0,99
132,-55.0,99
133,-470.0,99
134,-985.0,99
135,-160.0,99
136,-260.0,99
137,-795.0,99
138,-700.0,99
139,-220.0,99
140,-335.0,99
141,-620.0,99
142,-325.0,99
