iteration,episode_reward,episode_length
0,-3025.0,99
1,-4375.0,99
2,-2195.0,99
3,-1705.0,99
4,-2820.0,99
5,-2980.0,99
6,-2610.0,99
7,-2520.0,99
8,-2930.0,99
9,-2040.0,99
10,-4275.0,99
11,-4340.0,99
12,-2495.0,99
13,-3305.0,99
14,-1195.0,99
15,-2625.0,99
16,-3810.0,99
17,-2345.0,99
18,-3845.0,99
19,-2275.0,99
20,-3090.0,99
21,-1600.0,99
22,-2330.0,99
23,-2200.0,99
24,-2750.0,99
25,-3125.0,99
26,-880.0,99
27,-2795.0,99
28,-2160.0,99
29,-1935.0,99
30,-2065.0,99
31,-1075.0,99
32,-1820.0,99
33,-1650.0,99
34,-3610.0,99
35,-1310.0,99
36,-2065.0,99
37,-2470.0,99
38,-2370.0,99
39,-1545.0,99
40,-1700.0,99
41,-3205.0,99
42,-2920.0,99
43,-2520.0,99
44,-2360.0,99
45,-2945.0,99
46,-2265.0,99
47,-1975.0,99
48,-2020.0,99
49,-1140.0,99
