iteration,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_loss,vf_loss,entropy,kl,elapsed_time,best_reward
0,-2471.5,-1215.0,-3420.0,99.0,0,0,0,0,51.094197034835815,-2471.5
1,-2181.25,-800.0,-3420.0,99.0,0,0,0,0,149.75759053230286,-2181.25
2,-2270.6666666666665,-785.0,-4665.0,99.0,0,0,0,0,249.7563819885254,-2181.25
3,-2196.0,-785.0,-4665.0,99.0,0,0,0,0,352.31224298477173,-2181.25
4,-2154.7,-785.0,-4665.0,99.0,0,0,0,0,450.2585608959198,-2154.7
5,-2054.75,-605.0,-4665.0,99.0,0,0,0,0,550.1381452083588,-2054.75
6,-2012.2142857142858,-530.0,-4665.0,99.0,0,0,0,0,647.4932792186737,-2012.2142857142858
7,-1903.3125,-400.0,-4665.0,99.0,0,0,0,0,747.6967964172363,-1903.3125
8,-1789.1666666666667,-175.0,-4665.0,99.0,0,0,0,0,846.3217597007751,-1789.1666666666667
9,-1655.45,-175.0,-4665.0,99.0,0,0,0,0,945.4047887325287,-1655.45
10,-1460.95,-130.0,-4665.0,99.0,0,0,0,0,1046.9869902133942,-1460.95
11,-1304.15,-130.0,-4665.0,99.0,0,0,0,0,1148.8243763446808,-1304.15
12,-1145.65,-130.0,-4045.0,99.0,0,0,0,0,1252.1122705936432,-1145.65
13,-986.65,-115.0,-3450.0,99.0,0,0,0,0,1354.9656248092651,-986.65
14,-859.45,-115.0,-3450.0,99.0,0,0,0,0,1456.186312675476,-859.45
15,-750.6,-115.0,-2405.0,99.0,0,0,0,0,1560.8602924346924,-750.6
16,-635.65,-5.0,-2035.0,99.0,0,0,0,0,1660.2428894042969,-635.65
17,-583.4,-5.0,-2035.0,99.0,0,0,0,0,1765.1868205070496,-583.4
18,-549.1,-5.0,-1775.0,99.0,0,0,0,0,1865.3748543262482,-549.1
19,-571.8,-5.0,-1775.0,99.0,0,0,0,0,1970.0460221767426,-549.1
20,-592.45,-5.0,-1775.0,99.0,0,0,0,0,2074.1184391975403,-549.1
21,-599.25,-5.0,-1775.0,99.0,0,0,0,0,2176.6505467891693,-549.1
22,-596.05,-5.0,-1775.0,99.0,0,0,0,0,2280.288603782654,-549.1
23,-585.45,-5.0,-1775.0,99.0,0,0,0,0,2384.071804046631,-549.1
24,-556.65,-5.0,-1775.0,99.0,0,0,0,0,2488.6143655776978,-549.1
25,-571.8,-5.0,-1775.0,99.0,0,0,0,0,2594.0356516838074,-549.1
26,-576.85,-40.0,-1775.0,99.0,0,0,0,0,2700.575168609619,-549.1
27,-585.1,-115.0,-1645.0,99.0,0,0,0,0,2808.014227628708,-549.1
28,-598.7,-115.0,-1580.0,99.0,0,0,0,0,2916.6455845832825,-549.1
29,-585.75,-115.0,-1580.0,99.0,0,0,0,0,3027.5455026626587,-549.1
30,-574.8,-115.0,-1580.0,99.0,0,0,0,0,3136.8793103694916,-549.1
31,-583.75,-55.0,-1795.0,99.0,0,0,0,0,3246.4636585712433,-549.1
32,-579.6,-55.0,-1795.0,99.0,0,0,0,0,3354.10529589653,-549.1
33,-587.75,-55.0,-1795.0,99.0,0,0,0,0,3460.296714782715,-549.1
34,-615.55,-55.0,-1795.0,99.0,0,0,0,0,3569.41078209877,-549.1
35,-601.4,-55.0,-1795.0,99.0,0,0,0,0,3675.8489983081818,-549.1
36,-598.95,-55.0,-1795.0,99.0,0,0,0,0,3785.49680185318,-549.1
37,-593.25,-55.0,-1795.0,99.0,0,0,0,0,3895.8177938461304,-549.1
38,-591.45,-55.0,-1795.0,99.0,0,0,0,0,4003.8175852298737,-549.1
39,-598.5,-55.0,-1795.0,99.0,0,0,0,0,4113.32719874382,-549.1
40,-596.95,-55.0,-1795.0,99.0,0,0,0,0,4218.823550701141,-549.1
41,-608.85,-120.0,-1520.0,99.0,0,0,0,0,4323.360298156738,-549.1
42,-604.9,-120.0,-1520.0,99.0,0,0,0,0,4429.8192574977875,-549.1
43,-589.25,-120.0,-1520.0,99.0,0,0,0,0,4537.523016214371,-549.1
44,-587.5,-120.0,-1455.0,99.0,0,0,0,0,4639.865880012512,-549.1
45,-608.15,-125.0,-1595.0,99.0,0,0,0,0,4742.128658771515,-549.1
46,-598.95,-90.0,-1595.0,99.0,0,0,0,0,4845.279452085495,-549.1
47,-602.6,-90.0,-1595.0,99.0,0,0,0,0,4963.295121669769,-549.1
48,-588.7,-90.0,-1595.0,99.0,0,0,0,0,5071.435846328735,-549.1
49,-588.7,-90.0,-1595.0,99.0,0,0,0,0,5176.690409660339,-549.1
50,-588.95,-90.0,-1665.0,99.0,0,0,0,0,5284.544603586197,-549.1
51,-589.4,-90.0,-1665.0,99.0,0,0,0,0,5395.204576969147,-549.1
52,-604.2,-90.0,-1665.0,99.0,0,0,0,0,5504.153486728668,-549.1
53,-613.85,-90.0,-1665.0,99.0,0,0,0,0,5616.508902788162,-549.1
54,-623.55,-90.0,-1770.0,99.0,0,0,0,0,5726.059188604355,-549.1
55,-625.5,-140.0,-2015.0,99.0,0,0,0,0,5833.496692657471,-549.1
56,-621.3,-140.0,-2015.0,99.0,0,0,0,0,5940.077416181564,-549.1
57,-615.35,-140.0,-2015.0,99.0,0,0,0,0,6051.529443740845,-549.1
58,-637.35,-130.0,-2015.0,99.0,0,0,0,0,6159.255380630493,-549.1
59,-661.7,-130.0,-2015.0,99.0,0,0,0,0,6266.192640542984,-549.1
60,-636.35,-130.0,-2015.0,99.0,0,0,0,0,6375.395547866821,-549.1
61,-615.7,-130.0,-2015.0,99.0,0,0,0,0,6486.618093490601,-549.1
62,-624.95,-130.0,-2015.0,99.0,0,0,0,0,6601.272621631622,-549.1
63,-648.15,-130.0,-2805.0,99.0,0,0,0,0,6713.363551616669,-549.1
64,-636.05,-130.0,-2805.0,99.0,0,0,0,0,6822.557776451111,-549.1
65,-608.6,-130.0,-2805.0,99.0,0,0,0,0,6932.615972042084,-549.1
66,-590.9,-130.0,-2805.0,99.0,0,0,0,0,7042.121343612671,-549.1
67,-566.6,-45.0,-2805.0,99.0,0,0,0,0,7152.127836704254,-549.1
68,-539.0,-45.0,-2805.0,99.0,0,0,0,0,7261.267398357391,-539.0
69,-515.15,-45.0,-2805.0,99.0,0,0,0,0,7371.484529495239,-515.15
70,-537.3,-45.0,-2805.0,99.0,0,0,0,0,7484.03188252449,-515.15
71,-544.75,-45.0,-2805.0,99.0,0,0,0,0,7592.446386575699,-515.15
72,-531.05,-45.0,-2805.0,99.0,0,0,0,0,7705.699861049652,-515.15
73,-510.3,-45.0,-1350.0,99.0,0,0,0,0,7814.414759874344,-510.3
74,-541.7,-45.0,-1705.0,99.0,0,0,0,0,7924.750733613968,-510.3
