iteration,episode_reward,smoothed_reward,episode_length,elapsed_time,best_reward
0,-3285,-3285,99,5.91928768157959,-3285
1,-2880,-3244.5,99,11.389569759368896,-2880
2,-2030,-3123.05,99,16.57622766494751,-2030
3,-2530,-3063.7450000000003,99,21.632158756256104,-2030
4,-730,-2830.3705000000004,99,27.028932094573975,-730
5,-1675,-2714.8334500000005,99,32.944960594177246,-730
6,-1890,-2632.3501050000004,99,38.66466045379639,-730
7,-2090,-2578.1150945000004,99,43.03683376312256,-730
8,-1700,-2490.3035850500005,99,47.15680742263794,-730
9,-1975,-2438.7732265450004,99,51.89025616645813,-730
10,-1695,-2364.3959038905004,99,56.95379328727722,-730
11,-2015,-2329.4563135014505,99,61.625367164611816,-730
12,-3430,-2439.5106821513054,99,67.05228281021118,-730
13,-1125,-2308.059613936175,99,72.01052808761597,-730
14,-1820,-2259.2536525425576,99,76.726966381073,-730
15,-3270,-2360.328287288302,99,81.78682446479797,-730
16,-1030,-2227.2954585594716,99,86.55518984794617,-730
17,-3460,-2350.565912703524,99,91.86648440361023,-730
18,-2125,-2328.009321433172,99,96.12443208694458,-730
19,-1890,-2284.208389289855,99,101.2424533367157,-730
20,-1900,-2245.7875503608693,99,105.42382144927979,-730
21,-1125,-2133.7087953247824,99,109.92462086677551,-730
22,-1985,-2118.837915792304,99,114.31302285194397,-730
23,-1370,-2043.9541242130738,99,119.37143278121948,-730
24,-1340,-1973.5587117917664,99,124.45178937911987,-730
25,-2395,-2015.7028406125899,99,129.58368515968323,-730
26,-1785,-1992.632556551331,99,133.81448101997375,-730
27,-1910,-1984.369300896198,99,138.1775622367859,-730
28,-2655,-2051.432370806578,99,143.12970352172852,-730
29,-1840,-2030.2891337259202,99,147.96782660484314,-730
30,-1845,-2011.7602203533284,99,153.14128875732422,-730
31,-2205,-2031.0841983179955,99,157.90633416175842,-730
32,-3430,-2170.975778486196,99,163.21211552619934,-730
33,-2390,-2192.8782006375764,99,168.7720124721527,-730
34,-3130,-2286.590380573819,99,173.3263144493103,-730
35,-2445,-2302.4313425164373,99,178.08813786506653,-730
36,-885,-2160.6882082647935,99,182.61768007278442,-730
37,-2700,-2214.6193874383143,99,187.16821813583374,-730
38,-2105,-2203.657448694483,99,192.1915352344513,-730
39,-3715,-2354.7917038250343,99,197.60899233818054,-730
40,-1475,-2266.812533442531,99,203.01869916915894,-730
41,-1280,-2168.131280098278,99,207.50432968139648,-730
42,-1655,-2116.81815208845,99,211.95291471481323,-730
43,-2365,-2141.636336879605,99,216.44203686714172,-730
44,-1945,-2121.9727031916445,99,220.64257216453552,-730
45,-1760,-2085.7754328724805,99,226.08272790908813,-730
46,-2810,-2158.1978895852326,99,230.75559377670288,-730
47,-1415,-2083.878100626709,99,235.16638684272766,-730
48,-1665,-2041.990290564038,99,240.14402151107788,-730
49,-2800,-2117.7912615076343,99,245.1021432876587,-730
50,-930,-1999.0121353568709,99,249.84829473495483,-730
51,-1880,-1987.1109218211839,99,253.96274733543396,-730
52,-1770,-1965.3998296390655,99,258.24289989471436,-730
53,-1680,-1936.859846675159,99,262.78677582740784,-730
54,-2435,-1986.673862007643,99,267.47744393348694,-730
55,-1165,-1904.5064758068788,99,271.8683834075928,-730
56,-3050,-2019.055828226191,99,276.97988653182983,-730
57,-2115,-2028.650245403572,99,281.35670280456543,-730
58,-940,-1919.7852208632148,99,286.3535432815552,-730
59,-1950,-1922.8066987768934,99,290.87200474739075,-730
60,-2085,-1939.0260288992042,99,295.6806125640869,-730
61,-1695,-1914.6234260092838,99,300.19274401664734,-730
62,-1425,-1865.6610834083554,99,304.6783068180084,-730
63,-1170,-1796.09497506752,99,309.3730697631836,-730
64,-1190,-1735.485477560768,99,313.44855999946594,-730
65,-1295,-1691.4369298046913,99,318.1662173271179,-730
66,-745,-1596.7932368242223,99,323.0596287250519,-730
67,-1540,-1591.1139131418001,99,327.2930157184601,-730
68,-1115,-1543.50252182762,99,332.1388912200928,-730
69,-1575,-1546.652269644858,99,336.5546507835388,-730
70,-2745,-1666.4870426803723,99,341.8778190612793,-730
71,-2130,-1712.8383384123351,99,346.76291060447693,-730
72,-2220,-1763.5545045711017,99,351.8950653076172,-730
73,-2610,-1848.1990541139915,99,356.84109330177307,-730
74,-2930,-1956.3791487025924,99,361.7233908176422,-730
75,-1555,-1916.2412338323331,99,366.0584707260132,-730
76,-1935,-1918.1171104490998,99,370.9366760253906,-730
77,-2870,-2013.3053994041898,99,376.16798663139343,-730
78,-2185,-2030.4748594637708,99,380.5961425304413,-730
79,-2010,-2028.4273735173938,99,385.4824299812317,-730
80,-3410,-2166.5846361656545,99,390.4104325771332,-730
81,-685,-2018.4261725490892,99,395.01669812202454,-685
82,-1720,-1988.5835552941803,99,399.39404344558716,-685
83,-2095,-1999.2251997647622,99,404.50346302986145,-685
84,-1560,-1955.302679788286,99,409.54002952575684,-685
85,-1445,-1904.2724118094575,99,413.8399727344513,-685
86,-1835,-1897.3451706285118,99,418.7217810153961,-685
87,-2855,-1993.1106535656606,99,423.9653961658478,-685
88,-2245,-2018.2995882090945,99,429.35648465156555,-685
89,-1205,-1936.969629388185,99,433.4657814502716,-685
90,-2835,-2026.7726664493666,99,437.7533802986145,-685
91,-3180,-2142.0953998044297,99,442.453510761261,-685
92,-1485,-2076.3858598239867,99,447.41650462150574,-685
93,-870,-1955.7472738415881,99,451.98242831230164,-685
94,-2675,-2027.6725464574295,99,456.67958402633667,-685
95,-1980,-2022.9052918116865,99,461.1839361190796,-685
96,-3005,-2121.114762630518,99,465.1017498970032,-685
97,-900,-1999.003286367466,99,470.1052715778351,-685
98,-2090,-2008.1029577307195,99,475.2876570224762,-685
99,-2835,-2090.7926619576474,99,480.21292757987976,-685
100,-2050,-2086.7133957618826,99,485.30278515815735,-685
101,-1490,-2027.0420561856943,99,490.2591314315796,-685
102,-2590,-2083.337850567125,99,495.3216953277588,-685
103,-2155,-2090.504065510412,99,500.4248015880585,-685
104,-1650,-2046.453658959371,99,504.63845586776733,-685
105,-910,-1932.808293063434,99,509.2842478752136,-685
106,-1855,-1925.0274637570906,99,514.3521480560303,-685
107,-1370,-1869.5247173813816,99,518.8858408927917,-685
108,-1670,-1849.5722456432434,99,523.7504172325134,-685
109,-1035,-1768.115021078919,99,528.4820990562439,-685
110,-1590,-1750.3035189710272,99,532.8753747940063,-685
111,-2150,-1790.2731670739245,99,537.9788658618927,-685
112,-1500,-1761.245850366532,99,542.1810491085052,-685
113,-1950,-1780.121265329879,99,546.5831553936005,-685
114,-1800,-1782.109138796891,99,551.3980252742767,-685
115,-2075,-1811.398224917202,99,556.5932488441467,-685
116,-1515,-1781.7584024254818,99,561.2233979701996,-685
117,-2310,-1834.5825621829335,99,566.2728159427643,-685
118,-1730,-1824.1243059646401,99,570.9301874637604,-685
119,-2335,-1875.2118753681762,99,575.8970696926117,-685
120,-3300,-2017.6906878313587,99,580.9733150005341,-685
121,-2560,-2071.921619048223,99,585.5561761856079,-685
122,-1865,-2051.2294571434004,99,591.0951585769653,-685
123,-2255,-2071.6065114290604,99,596.5940091609955,-685
124,-1570,-2021.4458602861544,99,601.3920509815216,-685
125,-2190,-2038.301274257539,99,606.0112504959106,-685
126,-1330,-1967.471146831785,99,610.2793221473694,-685
127,-2160,-1986.7240321486065,99,614.6935214996338,-685
128,-735,-1861.5516289337459,99,618.3859107494354,-685
129,-2520,-1927.3964660403713,99,622.8396954536438,-685
130,-2700,-2004.6568194363342,99,627.347457408905,-685
131,-1680,-1972.1911374927008,99,632.2500486373901,-685
132,-1475,-1922.4720237434308,99,637.6663935184479,-685
133,-1480,-1878.2248213690877,99,642.6557898521423,-685
134,-1450,-1835.402339232179,99,647.1168341636658,-685
135,-1590,-1810.8621053089612,99,651.3433253765106,-685
136,-1600,-1789.775894778065,99,656.1083719730377,-685
137,-3085,-1919.2983053002586,99,660.4147365093231,-685
138,-3215,-2048.8684747702328,99,664.7126111984253,-685
139,-1925,-2036.4816272932096,99,668.7760593891144,-685
140,-1650,-1997.8334645638886,99,673.9284000396729,-685
141,-2010,-1999.0501181074997,99,677.6956658363342,-685
142,-1235,-1922.6451062967496,99,682.5500042438507,-685
143,-1520,-1882.3805956670747,99,686.6485447883606,-685
144,-1705,-1864.6425361003671,99,691.8266267776489,-685
145,-1175,-1795.6782824903305,99,696.5176975727081,-685
146,-1820,-1798.1104542412975,99,700.9932036399841,-685
147,-2865,-1904.7994088171677,99,705.9698362350464,-685
148,-2500,-1964.319467935451,99,710.3729205131531,-685
149,-2345,-2002.387521141906,99,714.5602972507477,-685
150,-1395,-1941.6487690277154,99,719.2509207725525,-685
151,-2990,-2046.4838921249438,99,724.1743476390839,-685
152,-4010,-2242.8355029124496,99,729.4974582195282,-685
153,-2080,-2226.5519526212047,99,734.264288187027,-685
154,-2200,-2223.8967573590844,99,738.8420848846436,-685
155,-2395,-2241.007081623176,99,743.9454154968262,-685
156,-2370,-2253.9063734608585,99,748.9656279087067,-685
157,-2250,-2253.5157361147726,99,754.5050039291382,-685
158,-1680,-2196.1641625032953,99,759.2318260669708,-685
159,-3355,-2312.047746252966,99,762.9835748672485,-685
160,-2020,-2282.8429716276696,99,767.5612466335297,-685
161,-1640,-2218.5586744649027,99,772.0717737674713,-685
162,-1955,-2192.2028070184124,99,776.6847817897797,-685
163,-1775,-2150.4825263165712,99,780.884877204895,-685
164,-2510,-2186.434273684914,99,785.8544850349426,-685
165,-2140,-2181.7908463164226,99,789.974613904953,-685
166,-2765,-2240.1117616847805,99,794.4505004882812,-685
167,-1235,-2139.6005855163025,99,799.6480884552002,-685
168,-2530,-2178.640526964672,99,804.0839171409607,-685
169,-2010,-2161.7764742682048,99,808.7472717761993,-685
170,-2295,-2175.0988268413844,99,812.7324960231781,-685
171,-1680,-2125.5889441572463,99,817.8885805606842,-685
172,-1560,-2069.030049741522,99,823.0748250484467,-685
173,-4140,-2276.1270447673696,99,827.7982368469238,-685
174,-1620,-2210.514340290633,99,832.3855745792389,-685
175,-1370,-2126.4629062615695,99,837.4767401218414,-685
176,-1620,-2075.8166156354127,99,841.4819846153259,-685
177,-1270,-1995.2349540718715,99,846.1896164417267,-685
178,-1980,-1993.7114586646844,99,850.8551428318024,-685
179,-2340,-2028.340312798216,99,855.0692236423492,-685
180,-1630,-1988.5062815183944,99,859.8142709732056,-685
181,-1060,-1895.655653366555,99,864.8210120201111,-685
182,-2385,-1944.5900880298996,99,869.6839373111725,-685
183,-985,-1848.6310792269096,99,874.3121316432953,-685
184,-2445,-1908.2679713042187,99,879.2382361888885,-685
185,-2120,-1929.4411741737968,99,884.4125266075134,-685
186,-1670,-1903.4970567564171,99,888.8423037528992,-685
187,-1920,-1905.1473510807755,99,893.8228781223297,-685
188,-1420,-1856.632615972698,99,897.7994298934937,-685
189,-1700,-1840.969354375428,99,902.7890839576721,-685
190,-2355,-1892.3724189378854,99,907.8412353992462,-685
