iteration,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_loss,vf_loss,entropy,kl,elapsed_time,best_reward
0,-2724.25,-1590.0,-4420.0,99.0,0,0,0,0,50.28284287452698,-2724.25
1,-2365.125,-630.0,-4420.0,99.0,0,0,0,0,93.45707416534424,-2365.125
2,-2217.5,-630.0,-4420.0,99.0,0,0,0,0,139.46670842170715,-2217.5
3,-2129.4375,-630.0,-4420.0,99.0,0,0,0,0,187.51386523246765,-2129.4375
4,-2039.25,-630.0,-4420.0,99.0,0,0,0,0,237.5066168308258,-2039.25
5,-1841.75,-630.0,-3800.0,99.0,0,0,0,0,286.44920229911804,-1841.75
6,-1754.3,-655.0,-3800.0,99.0,0,0,0,0,336.36382150650024,-1754.3
7,-1734.65,-655.0,-3800.0,99.0,0,0,0,0,385.9404139518738,-1734.65
8,-1700.8,-655.0,-3410.0,99.0,0,0,0,0,434.53997135162354,-1700.8
9,-1676.7,-510.0,-3410.0,99.0,0,0,0,0,482.97899985313416,-1676.7
10,-1659.9,-510.0,-3395.0,99.0,0,0,0,0,535.2089653015137,-1659.9
11,-1611.45,-510.0,-3315.0,99.0,0,0,0,0,583.728119134903,-1611.45
12,-1513.0,-510.0,-3315.0,99.0,0,0,0,0,632.075553894043,-1513.0
13,-1408.1,-510.0,-3335.0,99.0,0,0,0,0,682.0792636871338,-1408.1
14,-1320.9,-310.0,-3335.0,99.0,0,0,0,0,731.8622534275055,-1320.9
15,-1181.9,-300.0,-3335.0,99.0,0,0,0,0,781.7767217159271,-1181.9
16,-1145.45,-300.0,-3335.0,99.0,0,0,0,0,831.4029896259308,-1145.45
17,-1113.3,-300.0,-3335.0,99.0,0,0,0,0,879.6808662414551,-1113.3
18,-1051.05,-245.0,-1955.0,99.0,0,0,0,0,927.6844906806946,-1051.05
19,-1016.0,-235.0,-2065.0,99.0,0,0,0,0,974.963460445404,-1016.0
20,-985.55,-235.0,-2065.0,99.0,0,0,0,0,1023.0458533763885,-985.55
21,-957.15,-235.0,-2390.0,99.0,0,0,0,0,1071.1531257629395,-957.15
22,-933.35,-235.0,-2390.0,99.0,0,0,0,0,1120.7882647514343,-933.35
23,-943.1,-235.0,-2390.0,99.0,0,0,0,0,1169.8610095977783,-933.35
24,-934.45,-265.0,-2390.0,99.0,0,0,0,0,1214.1033599376678,-933.35
25,-947.4,-290.0,-2390.0,99.0,0,0,0,0,1262.2497227191925,-933.35
26,-930.2,-290.0,-2035.0,99.0,0,0,0,0,1311.0430240631104,-930.2
27,-899.1,-275.0,-1855.0,99.0,0,0,0,0,1361.4938595294952,-899.1
28,-877.55,-275.0,-1965.0,99.0,0,0,0,0,1408.998735666275,-877.55
29,-855.7,-220.0,-1965.0,99.0,0,0,0,0,1454.129390001297,-855.7
