iteration,episode_reward,episode_length
0,-480.0,99
1,-360.0,99
2,-780.0,99
3,-370.0,99
4,-825.0,99
5,-525.0,99
6,-95.0,99
7,-1105.0,99
8,-710.0,99
9,-575.0,99
10,-580.0,99
11,-595.0,99
12,-1090.0,99
13,-350.0,99
14,-510.0,99
15,-205.0,99
16,-1025.0,99
17,-290.0,99
18,-295.0,99
19,-325.0,99
20,-480.0,99
21,-910.0,99
22,-525.0,99
23,-485.0,99
24,-530.0,99
25,-350.0,99
26,-465.0,99
27,-430.0,99
28,-720.0,99
29,-575.0,99
30,-235.0,99
31,-850.0,99
32,-1415.0,99
33,-635.0,99
34,-440.0,99
35,-220.0,99
36,-285.0,99
37,-290.0,99
38,-270.0,99
39,-375.0,99
40,-305.0,99
41,-1075.0,99
42,-815.0,99
43,-725.0,99
44,-1450.0,99
45,-395.0,99
46,-1650.0,99
47,-440.0,99
48,-865.0,99
49,-625.0,99
50,-310.0,99
51,-630.0,99
52,-725.0,99
53,-320.0,99
54,-430.0,99
55,-255.0,99
56,-860.0,99
57,-380.0,99
58,-1100.0,99
59,-310.0,99
60,-700.0,99
61,-705.0,99
62,-390.0,99
63,-1390.0,99
64,-1590.0,99
65,-1005.0,99
66,-475.0,99
67,-400.0,99
68,-475.0,99
69,-645.0,99
70,-460.0,99
71,-580.0,99
72,-575.0,99
73,-430.0,99
74,-1025.0,99
75,-505.0,99
76,-635.0,99
77,-635.0,99
78,-285.0,99
79,-1215.0,99
80,-355.0,99
81,-485.0,99
82,-330.0,99
83,-570.0,99
84,-790.0,99
85,-685.0,99
86,-1315.0,99
87,-405.0,99
88,-630.0,99
89,-665.0,99
90,-385.0,99
91,-220.0,99
92,-710.0,99
93,-465.0,99
94,-675.0,99
95,-815.0,99
96,-625.0,99
97,-695.0,99
98,-530.0,99
99,-810.0,99
100,-425.0,99
101,-1225.0,99
102,-480.0,99
103,-595.0,99
104,-365.0,99
105,-735.0,99
106,-375.0,99
107,-415.0,99
108,-655.0,99
109,-300.0,99
110,-300.0,99
111,-680.0,99
112,-415.0,99
113,-605.0,99
114,-215.0,99
115,-205.0,99
116,-480.0,99
117,-610.0,99
118,-525.0,99
119,-290.0,99
120,-375.0,99
121,-400.0,99
122,-530.0,99
123,-545.0,99
124,-745.0,99
