iteration,episode_reward,episode_length
0,-280.0,99
1,-450.0,99
2,-325.0,99
3,-185.0,99
4,-205.0,99
5,-405.0,99
6,-635.0,99
7,-835.0,99
8,-995.0,99
9,-350.0,99
10,-575.0,99
11,-800.0,99
12,-690.0,99
13,-685.0,99
14,-175.0,99
15,-310.0,99
16,-200.0,99
17,-375.0,99
18,-270.0,99
19,-360.0,99
20,-180.0,99
21,-530.0,99
22,-585.0,99
23,-300.0,99
24,-715.0,99
25,-590.0,99
26,-1195.0,99
27,-910.0,99
28,-915.0,99
29,-915.0,99
30,-715.0,99
31,-660.0,99
32,-890.0,99
33,-750.0,99
34,-925.0,99
35,-110.0,99
36,-525.0,99
