iteration,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_loss,vf_loss,entropy,kl,elapsed_time,best_reward
0,-2420.5,-1295.0,-4380.0,99.0,0,0,0,0,51.188438177108765,-2420.5
1,-2332.0,-850.0,-4380.0,99.0,0,0,0,0,149.08580017089844,-2332.0
2,-2249.6666666666665,-850.0,-4380.0,99.0,0,0,0,0,240.4047076702118,-2249.6666666666665
3,-2156.625,-850.0,-4380.0,99.0,0,0,0,0,333.58010959625244,-2156.625
4,-2077.4,-850.0,-4380.0,99.0,0,0,0,0,434.9515206813812,-2077.4
5,-2012.25,-850.0,-4380.0,99.0,0,0,0,0,529.596385717392,-2012.25
6,-2012.0,-850.0,-4380.0,99.0,0,0,0,0,632.4305436611176,-2012.0
7,-1932.9375,-375.0,-4380.0,99.0,0,0,0,0,737.2128391265869,-1932.9375
8,-1836.888888888889,-205.0,-4380.0,99.0,0,0,0,0,833.7568504810333,-1836.888888888889
9,-1671.15,-150.0,-3975.0,99.0,0,0,0,0,930.9520354270935,-1671.15
10,-1497.95,-80.0,-3975.0,99.0,0,0,0,0,1029.736543416977,-1497.95
11,-1313.75,-80.0,-3910.0,99.0,0,0,0,0,1126.4885203838348,-1313.75
12,-1169.45,-80.0,-3910.0,99.0,0,0,0,0,1229.686043024063,-1169.45
13,-1046.05,-80.0,-3910.0,99.0,0,0,0,0,1332.5970458984375,-1046.05
14,-917.85,-80.0,-3910.0,99.0,0,0,0,0,1431.7190771102905,-917.85
15,-790.05,-80.0,-3910.0,99.0,0,0,0,0,1531.899896144867,-790.05
16,-638.0,-80.0,-2775.0,99.0,0,0,0,0,1635.5133919715881,-638.0
17,-558.6,-80.0,-1950.0,99.0,0,0,0,0,1733.0085010528564,-558.6
18,-504.9,-80.0,-1785.0,99.0,0,0,0,0,1837.934240102768,-504.9
19,-495.55,-80.0,-1785.0,99.0,0,0,0,0,1940.264053106308,-495.55
20,-512.2,-85.0,-1785.0,99.0,0,0,0,0,2039.8864486217499,-495.55
21,-515.0,-85.0,-1785.0,99.0,0,0,0,0,2141.5370984077454,-495.55
22,-505.0,-85.0,-1785.0,99.0,0,0,0,0,2240.0288038253784,-495.55
23,-510.05,-85.0,-1785.0,99.0,0,0,0,0,2343.335307121277,-495.55
24,-541.45,-85.0,-1785.0,99.0,0,0,0,0,2444.385088443756,-495.55
25,-566.9,-85.0,-1785.0,99.0,0,0,0,0,2547.052346944809,-495.55
26,-558.45,-85.0,-1340.0,99.0,0,0,0,0,3182.583656311035,-495.55
27,-553.65,-70.0,-1340.0,99.0,0,0,0,0,3284.7097232341766,-495.55
28,-549.5,-70.0,-1340.0,99.0,0,0,0,0,3389.829926967621,-495.55
29,-555.15,-70.0,-1555.0,99.0,0,0,0,0,3493.065938472748,-495.55
30,-564.5,-70.0,-1555.0,99.0,0,0,0,0,3595.596826314926,-495.55
31,-551.65,-70.0,-1555.0,99.0,0,0,0,0,3697.644736289978,-495.55
32,-559.0,-70.0,-1555.0,99.0,0,0,0,0,3800.2781348228455,-495.55
33,-571.1,-70.0,-1555.0,99.0,0,0,0,0,3900.979968547821,-495.55
34,-559.95,-70.0,-1555.0,99.0,0,0,0,0,4001.7943952083588,-495.55
35,-568.7,-70.0,-1555.0,99.0,0,0,0,0,4102.301043510437,-495.55
36,-608.25,-70.0,-1555.0,99.0,0,0,0,0,4206.476375102997,-495.55
37,-626.55,-40.0,-1555.0,99.0,0,0,0,0,4307.183938026428,-495.55
38,-659.5,-40.0,-1555.0,99.0,0,0,0,0,4411.749440670013,-495.55
39,-689.15,-40.0,-1520.0,99.0,0,0,0,0,4518.497281551361,-495.55
40,-713.6,-40.0,-1520.0,99.0,0,0,0,0,4621.04727935791,-495.55
41,-750.85,-40.0,-1520.0,99.0,0,0,0,0,4725.726620435715,-495.55
42,-773.25,-40.0,-1820.0,99.0,0,0,0,0,4828.548355340958,-495.55
43,-771.4,-40.0,-1820.0,99.0,0,0,0,0,4927.732645273209,-495.55
44,-760.55,-40.0,-1820.0,99.0,0,0,0,0,5030.487787723541,-495.55
45,-737.55,-40.0,-1820.0,99.0,0,0,0,0,5135.127096652985,-495.55
46,-716.5,-85.0,-1820.0,99.0,0,0,0,0,5239.277181863785,-495.55
47,-709.55,-95.0,-1820.0,99.0,0,0,0,0,5343.224449872971,-495.55
48,-679.3,-95.0,-1820.0,99.0,0,0,0,0,5446.231746673584,-495.55
49,-617.5,-95.0,-1820.0,99.0,0,0,0,0,5549.072782754898,-495.55
50,-623.0,-95.0,-1995.0,99.0,0,0,0,0,5656.075065851212,-495.55
51,-646.2,-70.0,-2025.0,99.0,0,0,0,0,5762.1139879226685,-495.55
52,-681.9,-70.0,-2075.0,99.0,0,0,0,0,5867.659406661987,-495.55
53,-725.7,-70.0,-2375.0,99.0,0,0,0,0,5975.76230597496,-495.55
54,-774.2,-70.0,-2375.0,99.0,0,0,0,0,6086.189612150192,-495.55
55,-794.5,-70.0,-2375.0,99.0,0,0,0,0,6191.4595420360565,-495.55
56,-833.55,-70.0,-2375.0,99.0,0,0,0,0,6299.094711303711,-495.55
57,-884.3,-70.0,-2375.0,99.0,0,0,0,0,6404.967798471451,-495.55
58,-948.45,-70.0,-2375.0,99.0,0,0,0,0,6516.0663626194,-495.55
59,-1016.5,-70.0,-2375.0,99.0,0,0,0,0,6623.760911941528,-495.55
60,-1041.2,-70.0,-2375.0,99.0,0,0,0,0,6732.601395606995,-495.55
61,-1060.25,-80.0,-2375.0,99.0,0,0,0,0,6838.3081138134,-495.55
62,-1050.55,-80.0,-2375.0,99.0,0,0,0,0,6944.9372663497925,-495.55
63,-987.8,-80.0,-1785.0,99.0,0,0,0,0,7052.121376276016,-495.55
64,-951.0,-55.0,-1785.0,99.0,0,0,0,0,7159.758307218552,-495.55
65,-915.7,-55.0,-1785.0,99.0,0,0,0,0,7265.740729093552,-495.55
66,-879.25,-55.0,-1740.0,99.0,0,0,0,0,7378.126358032227,-495.55
67,-836.2,-55.0,-1675.0,99.0,0,0,0,0,7489.897728919983,-495.55
68,-782.25,-55.0,-1665.0,99.0,0,0,0,0,7597.276499986649,-495.55
69,-740.5,-55.0,-1665.0,99.0,0,0,0,0,7703.556930541992,-495.55
70,-710.95,-55.0,-1760.0,99.0,0,0,0,0,7813.792184591293,-495.55
71,-670.4,-55.0,-1760.0,99.0,0,0,0,0,7922.551256418228,-495.55
72,-626.45,-55.0,-1760.0,99.0,0,0,0,0,8030.658537387848,-495.55
73,-636.25,-55.0,-1760.0,99.0,0,0,0,0,8136.622678041458,-495.55
74,-612.05,-70.0,-1760.0,99.0,0,0,0,0,8244.125171422958,-495.55
75,-641.85,-70.0,-1760.0,99.0,0,0,0,0,8350.990710258484,-495.55
76,-666.95,-70.0,-1760.0,99.0,0,0,0,0,8460.505060911179,-495.55
77,-658.55,-70.0,-1760.0,99.0,0,0,0,0,8570.299650669098,-495.55
78,-654.6,-70.0,-1760.0,99.0,0,0,0,0,8676.18761062622,-495.55
79,-661.15,-70.0,-1630.0,99.0,0,0,0,0,8785.636242628098,-495.55
80,-678.85,-70.0,-1645.0,99.0,0,0,0,0,8895.22785115242,-495.55
81,-685.9,-125.0,-1645.0,99.0,0,0,0,0,9001.373336076736,-495.55
