iteration,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_loss,vf_loss,entropy,kl,elapsed_time,best_reward
0,-2584.0,-1245.0,-4690.0,99.0,0,0,0,0,51.877025842666626,-2584.0
1,-2446.625,-1245.0,-4690.0,99.0,0,0,0,0,199.74547910690308,-2446.625
2,-2326.9166666666665,-995.0,-4690.0,99.0,0,0,0,0,248.56791138648987,-2326.9166666666665
3,-2262.75,-730.0,-4690.0,99.0,0,0,0,0,296.4709966182709,-2262.75
4,-2153.8,-515.0,-4690.0,99.0,0,0,0,0,344.32698369026184,-2153.8
5,-1928.05,-440.0,-4440.0,99.0,0,0,0,0,393.5749611854553,-1928.05
6,-1755.45,-440.0,-4025.0,99.0,0,0,0,0,442.37387442588806,-1755.45
7,-1592.7,-415.0,-4025.0,99.0,0,0,0,0,490.8015694618225,-1592.7
8,-1440.9,-415.0,-4025.0,99.0,0,0,0,0,539.2080857753754,-1440.9
9,-1381.6,-415.0,-4025.0,99.0,0,0,0,0,588.7311065196991,-1381.6
10,-1311.35,-400.0,-2780.0,99.0,0,0,0,0,638.3171672821045,-1311.35
11,-1264.2,-400.0,-2550.0,99.0,0,0,0,0,687.0833327770233,-1264.2
12,-1219.7,-400.0,-2550.0,99.0,0,0,0,0,736.7629837989807,-1219.7
13,-1183.5,-400.0,-2550.0,99.0,0,0,0,0,785.0264689922333,-1183.5
14,-1092.0,-340.0,-2550.0,99.0,0,0,0,0,831.5861511230469,-1092.0
15,-1045.35,-190.0,-2550.0,99.0,0,0,0,0,879.3875696659088,-1045.35
16,-1047.8,-190.0,-2470.0,99.0,0,0,0,0,929.3713939189911,-1045.35
17,-1017.75,-190.0,-2345.0,99.0,0,0,0,0,979.7943842411041,-1017.75
18,-976.25,-190.0,-2345.0,99.0,0,0,0,0,1027.8800563812256,-976.25
19,-1021.55,-295.0,-2345.0,99.0,0,0,0,0,1077.9542531967163,-976.25
20,-1003.85,-295.0,-2345.0,99.0,0,0,0,0,1125.8547940254211,-976.25
21,-974.85,-290.0,-2340.0,99.0,0,0,0,0,1174.307058095932,-974.85
22,-951.05,-290.0,-2290.0,99.0,0,0,0,0,1224.1653079986572,-951.05
23,-944.0,-290.0,-2290.0,99.0,0,0,0,0,1271.784236907959,-944.0
24,-902.65,-290.0,-2555.0,99.0,0,0,0,0,1320.247049331665,-902.65
25,-861.4,-215.0,-2555.0,99.0,0,0,0,0,1365.8847341537476,-861.4
26,-789.2,-175.0,-2555.0,99.0,0,0,0,0,1415.078202009201,-789.2
27,-817.8,-175.0,-2555.0,99.0,0,0,0,0,1466.07279753685,-789.2
28,-814.85,-175.0,-2555.0,99.0,0,0,0,0,1517.58944773674,-789.2
