iteration,episode_reward,episode_length
0,-205.0,99
1,-325.0,99
2,-1410.0,99
3,-180.0,99
4,-370.0,99
5,-435.0,99
6,-370.0,99
7,-165.0,99
8,-535.0,99
9,-925.0,99
10,-565.0,99
11,-165.0,99
12,-465.0,99
13,-380.0,99
14,-360.0,99
15,-320.0,99
16,-910.0,99
17,-555.0,99
18,-370.0,99
19,-370.0,99
20,-700.0,99
21,-875.0,99
22,-410.0,99
23,-590.0,99
24,-815.0,99
25,-425.0,99
26,-425.0,99
27,-515.0,99
28,-575.0,99
29,-760.0,99
30,-700.0,99
31,-300.0,99
32,-420.0,99
33,-460.0,99
34,-260.0,99
35,-2185.0,99
36,-725.0,99
37,-320.0,99
38,-735.0,99
39,-1180.0,99
40,-570.0,99
41,-800.0,99
42,-290.0,99
43,-460.0,99
44,-635.0,99
45,-365.0,99
46,-240.0,99
47,-670.0,99
48,-385.0,99
49,-525.0,99
50,-900.0,99
51,-365.0,99
52,-440.0,99
53,-445.0,99
54,-335.0,99
55,-410.0,99
56,-180.0,99
57,-255.0,99
58,-300.0,99
59,-905.0,99
60,-390.0,99
61,-1210.0,99
62,-395.0,99
63,-695.0,99
64,-580.0,99
65,-230.0,99
66,-415.0,99
67,-385.0,99
68,-595.0,99
69,-395.0,99
70,-285.0,99
71,-775.0,99
72,-605.0,99
73,-735.0,99
